;Unnamed: 0.1;Unnamed: 0;Tweets;langkah01;token;token_akhir;langkah02;finalText_str;teksprocessed
0;0;0;@FirahAlam Baik, Kak Stark. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi;firahalam baik kak stark mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;['firahalam', 'baik', 'kak', 'stark', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];['firahalam', 'baik', 'kak', 'stark', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];firahalam baik kak stark mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;firahalam baik kak stark mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;firahalam baik stark mohon kenan tunggu interaksi lanjut dm kak terima kasih dofi
1;1;1;@FirahAlam Halo, Kak Stark. Maaf ya, terkait kendala aktivasi paket. Yuk infoin nomor hp dan tanggal kejadian via D… https://t.co/riSzAob0BK;firahalam halo kak stark maaf ya terkait kendala aktivasi paket yuk infoin nomor hp dan tanggal kejadian via coriszaobbk;['firahalam', 'halo', 'kak', 'stark', 'maaf', 'ya', 'terkait', 'kendala', 'aktivasi', 'paket', 'yuk', 'infoin', 'nomor', 'hp', 'dan', 'tanggal', 'kejadian', 'via', 'coriszaobbk'];['firahalam', 'halo', 'kak', 'stark', 'maaf', 'ya', 'terkait', 'kendala', 'aktivasi', 'paket', 'yuk', 'infoin', 'nomor', 'hp', 'dan', 'tanggal', 'kejadian', 'via', 'coriszaobbk'];firahalam halo kak stark maaf ya terkait kendala aktivasi paket yuk infoin nomor hp dan tanggal kejadian via coriszaobbk;firahalam halo kak stark maaf ya terkait kendala aktivasi paket yuk infoin nomor hp dan tanggal kejadian via coriszaobbk;firahalam halo stark maaf kait kendala aktivasi paket yuk infoin nomor hp tanggal jadi via coriszaobbk
2;2;2;@t1kamer4d Dibuat gak nyaman ya, Kak George. Notifikasi tersebut merupakan promosi paket internet dari MyTelkomsel… https://t.co/2KsYB5ZW6F;tkamerd dibuat gak nyaman ya kak george notifikasi tersebut merupakan promosi paket internet dari mytelkomsel coksybzwf;['tkamerd', 'dibuat', 'gak', 'nyaman', 'ya', 'kak', 'george', 'notifikasi', 'tersebut', 'merupakan', 'promosi', 'paket', 'internet', 'dari', 'mytelkomsel', 'coksybzwf'];['tkamerd', 'dibuat', 'gak', 'nyaman', 'ya', 'kak', 'george', 'notifikasi', 'tersebut', 'merupakan', 'promosi', 'paket', 'internet', 'dari', 'mytelkomsel', 'coksybzwf'];tkamerd dibuat gak nyaman ya kak george notifikasi tersebut merupakan promosi paket internet dari mytelkomsel coksybzwf;tkamerd dibuat gak nyaman ya kak george notifikasi tersebut merupakan promosi paket internet dari mytelkomsel coksybzwf;tkamerd buat gak nyaman kak george notifikasi sebut rupa promosi paket internet mytelkomsel coksybzwf
3;3;3;@andre_sni Baik, Kak Andre. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi;andre_sni baik kak andre mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;['andre_sni', 'baik', 'kak', 'andre', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];['andre_sni', 'baik', 'kak', 'andre', 'mohon', 'berkenan', 'menunggu', 'interaksi', 'selanjutnya', 'di', 'dm', 'ya', 'kak', 'terima', 'kasih', 'dofi'];andre_sni baik kak andre mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;andre_sni baik kak andre mohon berkenan menunggu interaksi selanjutnya di dm ya kak terima kasih dofi;andre sni baik andre mohon kenan tunggu interaksi lanjut dm kak terima kasih dofi
4;4;4;@myowish Hai, Kak Alen. Telkomsel dan Disney+ Hotstar masih bekerja sama kok, jika Kakak ingin berlangganan Disney+… https://t.co/ug5OqHpHPO;myowish hai kak alen telkomsel dan disney hotstar masih bekerja sama kok jika kakak ingin berlangganan disney cougoqhphpo;['myowish', 'hai', 'kak', 'alen', 'telkomsel', 'dan', 'disney', 'hotstar', 'masih', 'bekerja', 'sama', 'kok', 'jika', 'kakak', 'ingin', 'berlangganan', 'disney', 'cougoqhphpo'];['myowish', 'hai', 'kak', 'alen', 'telkomsel', 'dan', 'disney', 'hotstar', 'masih', 'bekerja', 'sama', 'kok', 'jika', 'kakak', 'ingin', 'berlangganan', 'disney', 'cougoqhphpo'];myowish hai kak alen telkomsel dan disney hotstar masih bekerja sama kok jika kakak ingin berlangganan disney cougoqhphpo;myowish hai kak alen telkomsel dan disney hotstar masih bekerja sama kok jika kakak ingin berlangganan disney cougoqhphpo;myowish hai alen telkomsel disney hotstar kerja sama kok kakak langgan disney cougoqhphpo
5;5;5;@Omndut0105 Hai, Kak. Maaf ya untuk ketidaksesuian tarif penawarannya. Yuk infoin nomor hp dan tanggal kejadian ke… https://t.co/tmSCQeBsB2;omndut hai kak maaf ya untuk ketidaksesuian tarif penawarannya yuk infoin nomor hp dan tanggal kejadian ke cotmscqebsb;['omndut', 'hai', 'kak', 'maaf', 'ya', 'untuk', 'ketidaksesuian', 'tarif', 'penawarannya', 'yuk', 'infoin', 'nomor', 'hp', 'dan', 'tanggal', 'kejadian', 'ke', 'cotmscqebsb'];['omndut', 'hai', 'kak', 'maaf', 'ya', 'untuk', 'ketidaksesuian', 'tarif', 'penawarannya', 'yuk', 'infoin', 'nomor', 'hp', 'dan', 'tanggal', 'kejadian', 'ke', 'cotmscqebsb'];omndut hai kak maaf ya untuk ketidaksesuian tarif penawarannya yuk infoin nomor hp dan tanggal kejadian ke cotmscqebsb;omndut hai kak maaf ya untuk ketidaksesuian tarif penawarannya yuk infoin nomor hp dan tanggal kejadian ke cotmscqebsb;omndut hai maaf untuk ketidaksesuian tarif tawar yuk infoin nomor hp tanggal jadi cotmscqebsb
6;6;6;@hesnataa Hai, Kak Hesnata. Maaf ya untuk kendala cek pulsa, yuk infoin nomor hp, tanggal kejadian dan capture kete… https://t.co/1hyKhy3Wc4;hesnataa hai kak hesnata maaf ya untuk kendala cek pulsa yuk infoin nomor hp tanggal kejadian dan capture kete cohykhywc;['hesnataa', 'hai', 'kak', 'hesnata', 'maaf', 'ya', 'untuk', 'kendala', 'cek', 'pulsa', 'yuk', 'infoin', 'nomor', 'hp', 'tanggal', 'kejadian', 'dan', 'capture', 'kete', 'cohykhywc'];['hesnataa', 'hai', 'kak', 'hesnata', 'maaf', 'ya', 'untuk', 'kendala', 'cek', 'pulsa', 'yuk', 'infoin', 'nomor', 'hp', 'tanggal', 'kejadian', 'dan', 'capture', 'kete', 'cohykhywc'];hesnataa hai kak hesnata maaf ya untuk kendala cek pulsa yuk infoin nomor hp tanggal kejadian dan capture kete cohykhywc;hesnataa hai kak hesnata maaf ya untuk kendala cek pulsa yuk infoin nomor hp tanggal kejadian dan capture kete cohykhywc;hesnataa hai hesnata maaf untuk kendala cek pulsa yuk infoin nomor hp tanggal jadi capture kete cohykhywc
7;7;7;@kiflizul1 Baik, Kak Zulkifli. Maaf untuk validasinya dan kendala melakukan panggilan. Yuk sapa Kami di DM agar pri… https://t.co/h0VUTvMFXL;kiflizul baik kak zulkifli maaf untuk validasinya dan kendala melakukan panggilan yuk sapa kami di dm agar pri cohvutvmf;['kiflizul', 'baik', 'kak', 'zulkifli', 'maaf', 'untuk', 'validasinya', 'dan', 'kendala', 'melakukan', 'panggilan', 'yuk', 'sapa', 'kami', 'di', 'dm', 'agar', 'pri', 'cohvutvmf'];['kiflizul', 'baik', 'kak', 'zulkifli', 'maaf', 'untuk', 'validasinya', 'dan', 'kendala', 'melakukan', 'panggilan', 'yuk', 'sapa', 'kami', 'di', 'dm', 'agar', 'pri', 'cohvutvmf'];kiflizul baik kak zulkifli maaf untuk validasinya dan kendala melakukan panggilan yuk sapa kami di dm agar pri cohvutvmf;kiflizul baik kak zulkifli maaf untuk validasinya dan kendala melakukan panggilan yuk sapa kami di dm agar pri cohvutvmf;kiflizul baik zulkifli maaf validasinya kendala laku panggil yuk sapa di dm pri cohvutvmf
8;8;8;@muhammaddahlanc Oke, Kak Dahlan. Arel segera meluncur buat cek DM Kakak. Mohon berkenan menunggu. Makasih😊-Arel;muhammaddahlanc oke kak dahlan arel segera meluncur buat cek dm kakak mohon berkenan menunggu makasih arel;['muhammaddahlanc', 'oke', 'kak', 'dahlan', 'arel', 'segera', 'meluncur', 'buat', 'cek', 'dm', 'kakak', 'mohon', 'berkenan', 'menunggu', 'makasih', 'arel'];['muhammaddahlanc', 'oke', 'kak', 'dahlan', 'arel', 'segera', 'meluncur', 'buat', 'cek', 'dm', 'kakak', 'mohon', 'berkenan', 'menunggu', 'makasih', 'arel'];muhammaddahlanc oke kak dahlan arel segera meluncur buat cek dm kakak mohon berkenan menunggu makasih arel;muhammaddahlanc oke kak dahlan arel segera meluncur buat cek dm kakak mohon berkenan menunggu makasih arel;muhammaddahlanc oke dahlan arel segera luncur buat cek dm kakak mohon kenan tunggu makasih arel
9;9;9;@kiflizul1 Hai, Kak Zulkifli. Maaf ya untuk keluhan internetnya. Jika datanya masih sama dengan sebelumnya silakan… https://t.co/WUcPaCQZVB;kiflizul hai kak zulkifli maaf ya untuk keluhan internetnya jika datanya masih sama dengan sebelumnya silakan cowucpacqzvb;['kiflizul', 'hai', 'kak', 'zulkifli', 'maaf', 'ya', 'untuk', 'keluhan', 'internetnya', 'jika', 'datanya', 'masih', 'sama', 'dengan', 'sebelumnya', 'silakan', 'cowucpacqzvb'];['kiflizul', 'hai', 'kak', 'zulkifli', 'maaf', 'ya', 'untuk', 'keluhan', 'internetnya', 'jika', 'datanya', 'masih', 'sama', 'dengan', 'sebelumnya', 'silakan', 'cowucpacqzvb'];kiflizul hai kak zulkifli maaf ya untuk keluhan internetnya jika datanya masih sama dengan sebelumnya silakan cowucpacqzvb;kiflizul hai kak zulkifli maaf ya untuk keluhan internetnya jika datanya masih sama dengan sebelumnya silakan cowucpacqzvb;kiflizul hai zulkifli maaf untuk keluh internetnya data sama belum sila cowucpacqzvb
