;Tweets
0;@FirahAlam Baik, Kak Stark. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
1;@FirahAlam Halo, Kak Stark. Maaf ya, terkait kendala aktivasi paket. Yuk infoin nomor hp dan tanggal kejadian via D… https://t.co/riSzAob0BK
2;@t1kamer4d Dibuat gak nyaman ya, Kak George. Notifikasi tersebut merupakan promosi paket internet dari MyTelkomsel… https://t.co/2KsYB5ZW6F
3;@andre_sni Baik, Kak Andre. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
4;@myowish Hai, Kak Alen. Telkomsel dan Disney+ Hotstar masih bekerja sama kok, jika Kakak ingin berlangganan Disney+… https://t.co/ug5OqHpHPO
5;@Omndut0105 Hai, Kak. Maaf ya untuk ketidaksesuian tarif penawarannya. Yuk infoin nomor hp dan tanggal kejadian ke… https://t.co/tmSCQeBsB2
6;@hesnataa Hai, Kak Hesnata. Maaf ya untuk kendala cek pulsa, yuk infoin nomor hp, tanggal kejadian dan capture kete… https://t.co/1hyKhy3Wc4
7;@kiflizul1 Baik, Kak Zulkifli. Maaf untuk validasinya dan kendala melakukan panggilan. Yuk sapa Kami di DM agar pri… https://t.co/h0VUTvMFXL
8;@muhammaddahlanc Oke, Kak Dahlan. Arel segera meluncur buat cek DM Kakak. Mohon berkenan menunggu. Makasih😊-Arel
9;@kiflizul1 Hai, Kak Zulkifli. Maaf ya untuk keluhan internetnya. Jika datanya masih sama dengan sebelumnya silakan… https://t.co/WUcPaCQZVB
10;@juliandany Baik, Kak Julian. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
11;@muhammaddahlanc Keganggu ya, Kak Dahlan. Mengenai kendala aktivasi paket belum masuk. Yuk infoin nomor HP, lokasi… https://t.co/Fvi3tpEzWy
12;@kiflizul1 Duhh jadi ga nyaman ya, Kak Zulkifli😥 Mengenai kendala melakukan panggilan, yuk infoin Nomor HP Kakak, N… https://t.co/gOGvxruLBB
13;@juliandany Dibuat bingung ya, Kak Julian. Terkait kendala nomor kartuHalo terblokir karena pembayaran telat. Yuk i… https://t.co/i5tyw42pNH
14;@jejeeewwww Duh gak nyaman ya, Kak Jeje. Terkait kendala aktivasi paket melalui aplikasi MyTelkomsel. Yuk infoin no… https://t.co/MMdPdNTvAl
15;@DianPurwandi Dibuat gak nyaman ya, kak Dian. Kalo Kakak udah konfirmasi melalui DM, pasti dibantu proses ya, Kak.… https://t.co/QPzaWVXe29
16;@aiIurophiiIes Okeyy, Kak Chel. Tunggu interaksi selanjutnya di DM ya. Makasih :) -Micha
17;@rizkyan27210789 Duh, Maaf nih Kak Rizkyan, udah keganggu. Mengenai kendala akses internet lambat. Yuk infoin nomor… https://t.co/rsfj2YGEtm
18;@andaluise Hai, Kak Ayun. Maaf jadi ga nyaman. Mengenai kendala Disney+ Hotstar, kalo masih sama kuy interaksinya d… https://t.co/jOFOCKdOHe
19;@tnyamelia Okeyy, Kak Amelia. Tunggu interaksi selanjutnya di DM ya. Makasih :) -Micha
20;@kemarinnsore Oke, Kak Ra. Arel senang jika informasinya membantu, tetap setia menggunakan Telkomsel ya. Sehat selalu😉 -Arel
21;@vachirait Hai, Kak Celi. Arel infoin, saat ini ada penyesuaian masa aktif. Masa aktif akan bertambah terhitung dar… https://t.co/GaSohlXhwa
22;@r4ndomthing Baik, Kak. Mohon berkenan menunggu interaksi selanjutnya via DM ya. Makasih😊 -Arel
23;@DeraOyy Baik, Kak Dera. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
24;@DeraOyy Hai, Kak Dera. Maaf jadi ga nyaman. Mengenai kendala resgitrasi kartu Prepaid, kuy infoin Nomor HP via DM… https://t.co/yh0qtwOtl6
25;@DeraOyy Dibuat bingung ya, Kak Dera. Terkait kendala registrasi kartu. Pastiin format sudah sesuai dengan cara SMS… https://t.co/I1Tkr889w2
26;@r4ndomthing Hai, kak. Maaf ya, Kak. Untuk kendalanya, silakan konfirmasi kembali ke DM, supaya dibantu lebih lanju… https://t.co/yxkTzPByGA
27;@alananiga Selamat pagi juga Kak. Baik, Rara segera cek DM Kakak ya. Mohon ditunggu :) -Rara
28;@tobatomat Dibuat bingung ya, Kak. Terkait reaktivasi kartu. Nomor yang udah melewatkan masa tenggang bisa di-reakt… https://t.co/ZtvNdcOV6W
29;@nocrypt_ Maaf ya udah bikin gak nyaman :( Yuk infoin ke DM nomor HP sama detail kendala menerima SMS promo spam, b… https://t.co/rIJjmUzu6p
30;@arinda_sa Hai, Kak Arinda. Maaf ya untuk kendala berlangganan Disney+ Hotstar. Yuk Kak infoin nomor hp Kakak ke DM… https://t.co/zNdg560X0h
31;@kemarinnsore Morning juga Kak Ra. Micha infoin untuk Monetary Pulsa gak bisa digunain buat aktivasi paket ya, hany… https://t.co/gfG0QZIUrP
32;@WongIndonesiaOK Duh dibuat gak nyaman ya, kak. Mengenai kendala tarif layanan Telkomsel, saat ini ada penyesuaian… https://t.co/YME4idwEkW
33;@arinda_sa Dibuat bingung ya, Kak Arinda. Micha infoin sejak tanggal 30 Mei 22 ada beberapa paket yang udah gak ber… https://t.co/u7aoPqL53R
34;@DidinAisah Hai, Kak Didin. Jangan lupa check-in setiap harinya ya Kak, agar ga ketinggalan rewardnya. Info lengkap… https://t.co/k964LOhgl4
35;@peachewrry Hai, Kak. Maaf atas ketidaknyaman yang dialami. Kuy interaksinya dilanjut via DM agar Arel bantu lebih lanjut. Tks😉 -Arel
36;@mszoa Baik, Kak Joy. Jika Kakak udah menyapa Kami di DM, mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
37;@CooPnet_Payment Okeyyy, Kak. Tunggu interaksi selanjutnya di DM ya. Makasih :) -Micha
38;@mszoa Baik, Kak Joy. Mohon berkenan menunggu interaksi selanjutnya di DM ya Kak. Terima kasih😊-Dofi
