TIDAK BAKU;BAKU
mangtab;bagus
evolusionis;revolusioner
adek;adik
mhs;mahasiswa
krn;karena
bbrp;beberapa
abstarck;abstrak
sebenenarnya;sebenarnya
kataakanlah;katakanlah
kongkrit;konkrit
tdk;tidak
ijasah;ijazah
n;dan
org;orang
mk;maka
skrng;sekarang
tp;tapi
jgn;jangan
krna;karena
mentri;menteri
sebanrnya;sebenarnya
habya;hanya
pd;pada
tsb;tersebut
yg;yang
bgt;banget
cuman;cuma
utk;untuk
kanca;kancah
mba;mbak
klw;kalau
truss;terus
berkwalitas;berkualitas
bro;kakak
smg;semoga
gw;saya
mantabb;bagus
bapakee;bapak
weee;wah
mabok;mabuk
ijin;izin
praktek;praktik
gak;tidak
dg;dengan
dgn;dengan
tsbt;tersebut
ntar;nanti
mantab;bagus
smoga;semoga
moga;semoga
emang;memang
emg;memang
pinter;pintar
dng;dengan
blm;belum
tanpak;tampak
aja;saja
bs;bisa
bsa;bisa
slalu;selalu
sy;saya
intgrasi;integrasi
dr;dari
skrg;sekarang
sdh;sudah
Alloh;Allah
terharuh;terharu
gmn;bagaimana
gmna;bagaimana
plis;mohon
mgp;mengapa
tinggl;tinggal
sedangkn;sedangkan
msk;masuk
yg;yang
hubnya;hubungannya
lwt;lewat
biarkn;biarkan
km;kamu
sec;secara
dipinggirkn;dipinggirkan
kerenn;keren
omdo;wacana
ntn;nonton
bpk;bapak
taeeekkk;tahi
spt;seperti
yaelah;aduh
gak;tidak
gua;saya
kek;kayak
kyk;kayak
gpp;baik
joss;bagus
sampe;sampai
sampei;sampai
pas;cocok
kalo;kalau
klo;kalau
taun;tahun
semster;semester
mahasiwa;mahasiswa
ngena;tersentuh
hra;harus
hrs;harus
tp;tapi
tetep;tetap
kpn;kapan
trimakasih;terimakasih
vidio;video
byk;banyak
bnyk;banyak
seorg;seorang
dlm;dalam
ttp;tetap
bidg;bidang
dh;sudah
dah;sudah
sdh;sudah
gercep;tangkas
istimewahhhhhh;istimewa
kerennn;keren
bgini;begini
trims;terimakasih
knp;mengapa
nyinyir;cerewet
thp;terhadap
pengen;ingin
benerin;dibetulkan
ngaco;kacau
tk;tingkat
lsg;langsung
lsg;langsung
kmi;kami
ksehatan;kesehatan
markotop;bagus
maantaap;bagus
brarti;berarti
diem;diam
hadeehh;aduh
maba;mahasiswa
wkt;waktu
si;sih
denger;dengar
sangt;sangat
lu;kamu
stuju;setuju
sbg;sebagai
smt;semester
trllu;terlalu
slama;selama
kdg;kadang
mumet;pusing
bentar;sebentar
ambyarr;hancur
gapapah;baik
blum;belum
enjoy;santai
mon;mohon
maap;maaf
gt;begitu
dlu;dulu
maen;main
demen;suka
lgi;lagi
bayak;banyak
gokil;bagus
tmpat;tempat
tmpt;tempat
dikit;sedikit
tuh;itu
ambyarr;hancur
klw;kalau
kasi;kasih
bener;benar
mah ;itu
pait;pahit
orng;orang
univ;universitas
alhamdulillah;syukur
ni;ini
kelar;selesai
fotocopy;fotokopi
otw;jalan
cma;cuma
tpi;tapi
cmn;cuma
punten;permisi
udah;sudah
dalem;dalam
cepet;cepat
